child_id;company_id;created_at;end_date;id;instructor;notes;schedule_periods;season;sport_name;start_date;updated_at
ca65c598-2249-4fb8-859e-f68d388ff2f3;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:17:00.087504+00;;4d448e51-d8d9-46f8-b1fb-72b6b325b491;;;;2026;Basketball;;2026-04-24 12:17:00.087504+00
cfcd090b-59a3-478a-9327-8093a98b29a3;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:30:45.062969+00;;94471315-ddf2-477c-92dc-48bcc761fa57;;Please work on shooting;;2026;Basketball;;2026-04-24 13:32:16.305142+00
d2e68940-4831-4333-89e4-b147425235c8;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:32:41.083162+00;;1c29f364-0836-4a18-872b-b938607c6deb;;;;2026;Basketball;;2026-04-24 13:32:41.083162+00
d5331cd2-f84a-4e9b-9836-922cb96abd74;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:23:20.13248+00;;4881987d-2610-45b4-ac71-9b2c01c0e7a3;;;;2026;Basketball;;2026-04-24 12:23:20.13248+00
e11584ba-501b-4873-8172-2d2b0faf43aa;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:22:54.629643+00;;7907b08e-9736-4e6c-96aa-282b6025545c;;;;2026;Basketball;;2026-04-24 12:22:54.629643+00
e937be8f-4dfb-478e-a217-8793b3acb557;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:28:15.101793+00;;a982e02c-09cd-498e-8a32-1012d74a3f24;;;;2026;Basketball;;2026-04-24 12:28:15.101793+00
f030d50c-ed70-492e-a06b-be328983c275;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:28:46.664555+00;;d05e2cb9-15e7-406b-bc09-4747cf3b4941;;;;2026;Basketball;;2026-04-24 12:28:46.664555+00
1483f105-5976-4b67-a4d6-c35c3e9eb18a;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:22:01.317391+00;;c81dcbad-70a1-44d4-9191-05551b74ffed;;;;2026;Golf;;2026-04-24 12:22:01.317391+00
332242de-4b4c-4464-acf7-44dd44a86234;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:27:15.614486+00;;cd63a811-0baf-4d29-90ca-ad0ed6240d51;;;;2026;Golf;;2026-04-24 12:27:15.614486+00
332242de-4b4c-4464-acf7-44dd44a86234;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:27:01.192653+00;;25060963-8300-4ec0-95a1-4bf8980d672b;;;;2026;Golf;;2026-04-24 13:27:01.192653+00
39081b14-e859-40bc-b575-f281995527f7;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:31:34.591486+00;;49101441-9c4d-4617-a86f-e4b41ff20cce;;With Pete Hochman;;2026;Golf;;2026-04-24 12:31:34.591486+00
d612bb89-d773-4e26-b4e4-147b01444504;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:35:14.017874+00;;9c8c87a6-f0e8-4bf2-a0a5-d761a1f747c5;;;;2026;Golf;;2026-04-24 13:35:14.017874+00
1f2aac44-f4db-472c-bada-1580fcba27f0;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:25:03.292261+00;;904d88c0-34f0-4cb8-8b98-5fe7afb36a07;;stick and wrist strength, endurance, faster transition, pausing on puck;;2026;Hockey;;2026-04-24 12:25:03.292261+00
