id;event_date;title;description;sport_type;time;location;team;opponent;created_at;created_by;division_id;custom_sport_type;event_type;division_provides_coach;division_provides_ref;home_away;season;meal_options;meal_notes;company_id;depart_time;start_time_field
27ae8585-ae94-4223-b81c-52f99df78892;2026-07-23;6 Boys Hockey;Barsel Cup ;Hockey;;Lokanda;;;2026-03-05 23:28:51.995623+00;;;;Invitational;false;false;away;2026;"[""Snack""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;08:15;
a9a72368-85d1-414d-b11f-c99d5c25479d;2026-07-23;11 and Under Girls Gymnastics;;Gymnastics;;Bryn Mawr;;;2026-03-05 23:35:03.934865+00;;;;Invitational;false;false;away;2026;"[""Lunch""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;09:20;
78df72d7-44ec-4d8d-b266-82175b65c3ff;2026-07-05;6/7 Girls Tennis/Pickleball;"1 singles tennis per division
1 doubles team per division tennis
1 doubles team per division pickleball";Tennis;;;;;2026-03-05 23:40:49.089418+00;;;;WC One Day Tournament;false;false;home;2026;"[""Lunch""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;;09:30
b2931463-2ccd-49b0-bd09-82527c0d9eb8;2026-07-12;6/7 Boys Tennis/Pickleball;"1 singles tennis per division
1 doubles team per division tennis
1 doubles team per division pickleball";Tennis;;;;;2026-03-05 23:41:53.02946+00;;;;WC One Day Tournament;false;false;home;2026;"[""Lunch""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;;09:30
b91c3152-f28f-4607-baf6-744ec1b2847e;2026-07-23;10/11 Girls Volleyball;;Volleyball;;Camp Wayne Girls;;;2026-03-05 23:44:04.488676+00;;;;WC One Day Tournament;false;false;away;2026;"[""Lunch""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;09:00;
c6151829-b7f4-4c06-aef5-fdee66cbc5de;2026-07-07;8/9 Girls Volleyball;;Volleyball;;Camp Wayne Girls;;;2026-03-05 23:42:57.014121+00;;;;WC One Day Tournament;false;false;away;2026;"[""Lunch""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;09:00;
78ff0149-54a9-42bb-a8df-6220a1515261;2026-07-28;3 Boys Football;2 Teams;Football;;IHC;;;2026-03-05 23:46:13.246126+00;;604b9c2b-ab97-420e-9ae6-2986c2bc71ec;;WC One Day Tournament;false;false;away;2026;"[""Lunch""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;;
d0ed36fe-3486-4857-8452-4d296a8714dc;2026-07-28;4 Boys Football;2 Teams;Football;;IHC;;;2026-03-05 23:46:57.941538+00;;ae8714fb-077d-47bb-9d66-533d8e04717f;;WC One Day Tournament;false;false;away;2026;"[""Snack""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;;
4883579c-dce1-4323-8d80-972be4ea2b0d;2026-07-28;4 Girls Football;2 Teams;Football;;IHC;;;2026-03-05 23:47:40.381713+00;;b13b7022-a66d-4064-b9dc-149ae106b013;;WC One Day Tournament;false;false;away;2026;"[""Snack""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;;
a5e66ee0-e2f0-43c9-8c7b-f344e7b12b44;2026-07-26;Owners Cup Boys 7 and under Baseball;2 Teams;Baseball;;Timber Lake Camp;;;2026-03-07 12:53:38.785742+00;;;;Invitational;false;false;away;2026;"[""Snack""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;07:00;
5c75945f-64d4-4b34-a2ba-6e33b59b8f6d;2026-07-15;Bocian Bowl ;;Football;;Timberlake ;;;2026-03-07 13:50:45.915989+00;;;;Invitational;false;false;away;2026;[];;0d0b7f4f-327e-4497-83ff-3aa501ffc295;07:00;
597681b1-9ec4-44bb-9c1c-52062917cf9a;2026-07-15;Melter Cup ;;Football;;Timberlake ;;;2026-03-07 13:51:48.680737+00;;;;Invitational;false;false;away;2026;[];;0d0b7f4f-327e-4497-83ff-3aa501ffc295;07:00;
