id;user_id;role;created_at;company_id
b6db0264-8b87-46e1-9a59-f346be17dddd;203e0719-d207-435d-a0c7-f10dec6f908e;division_leader;2026-01-29 16:16:36.527197+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
d84c3980-56fe-4027-b265-d496e7d1458b;f1960b81-b030-46d2-84ad-ef1c5d401bf6;division_leader;2026-01-29 16:16:39.886922+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
017ae57e-31ca-4a41-9cd1-f18cc2d95928;e141feb3-55c7-47e1-88b9-8cb9f0810353;division_leader;2026-01-29 16:16:43.711307+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
10765db3-3f5d-4446-98ca-dceb9eb83980;f8918bf2-e1d4-48f3-852d-7387834e6627;division_leader;2026-01-29 16:16:47.888845+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
bed07a8c-a680-4309-8ac5-945db42cefe9;11cbc504-f617-4777-aabb-9190b0d12b1f;division_leader;2026-01-29 16:16:52.054286+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
72c5594f-073d-4869-bfb8-ef9a96bfc828;6aa00b25-b657-4bf1-8df4-7727408c34c8;admin;2026-02-04 23:16:25.456386+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
65e16265-d494-4f3f-8989-7601485756d8;d1d6cb99-e32a-453d-a20b-8721c5e3cf83;division_leader;2026-02-04 23:16:38.71793+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
af4f5ba0-98ad-49d9-949c-e4d11e04462e;a37e554c-996f-4c7f-9a61-432b13333730;division_leader;2026-02-04 23:16:43.827647+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
152772f5-630f-480b-bb40-f243073b26c7;74836590-c359-40d1-b710-9671e8e22452;division_leader;2026-02-04 23:16:51.523711+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
7ca33d22-a605-4e9c-a362-95f486587b23;29cf9d2a-9019-4a76-90fb-4acf78a514ee;division_leader;2026-02-04 23:16:54.417558+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
36fac981-1101-4b98-b627-d3e455fed649;79b4c8cd-d5ca-450f-960c-ea7c12f9a49e;division_leader;2026-02-04 23:17:02.906637+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
9e24892c-5dd6-4ea1-a8c1-39ef96a902f7;113a81a8-6716-4d72-9d2c-e456ee32713d;division_leader;2026-02-04 23:17:06.649375+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
1dce1c22-d300-4769-9032-c719cbd4e437;0214c7eb-5112-4d79-9b84-944dce3b5769;division_leader;2026-02-04 23:17:14.047226+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
3f8c17cf-12d5-43de-af06-bcecd4d16122;3a08e742-7abc-4fd4-b9ba-5932527adfd6;division_leader;2026-02-04 23:17:17.693792+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
a6cd9008-d452-42e0-806a-1b181d359060;2674e332-7d10-4691-afca-dfe6acdc571b;division_leader;2026-02-04 23:17:23.303642+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
b9b8416a-40b3-4b32-b1f3-ed3f9f7646b2;8da5c0f7-dd54-4aeb-bb65-8aeb451c22d5;admin;2026-02-04 23:39:00.896297+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
ab3cda98-ec59-49f1-ace2-601516b119ba;db7f413b-b8c3-4a86-bd3f-276761b3a382;admin;2026-02-04 23:39:04.87466+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
25e55489-5177-47b2-a4a0-a27d1bacb5fe;9c4f0ecb-7ed5-4edd-bc7a-8a04d58f5a0d;admin;2026-02-04 23:39:08.510065+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
45e4a76f-2162-4edb-954e-9fc132e81233;60bd07fe-b7a4-4d3f-b37a-c32403d7e248;admin;2026-02-04 23:39:13.039798+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
c5acccd4-bb99-429a-a8f8-af6ed3eee9c1;1c59918f-a16e-43e6-938d-a696ca5bdad2;division_leader;2026-02-06 14:23:30.85937+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
36d77814-38ea-4642-be13-cbeff2ea63d6;9c53c958-b3c4-4d48-a385-19c1bea7149a;super_admin;2026-02-12 15:45:57.924271+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
96888024-a2c5-4d88-b023-0feae9c9f464;8b04a934-e568-4fa1-a40b-f6b322c76d12;admin;2026-03-03 16:29:50.228622+00;9cbae52b-cdf8-4fab-88f5-fb949f0bde2a
c5c7d909-d7a8-4d2c-87c6-90569ea45a8f;d6b843fe-6c3f-4350-92fe-73b6b7641e49;viewer;2026-03-16 05:50:51.013736+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
80b09b36-c801-4ca3-b740-059ee64eaff3;d6b843fe-6c3f-4350-92fe-73b6b7641e49;staff;2026-03-16 05:50:51.341573+00;0d0b7f4f-327e-4497-83ff-3aa501ffc295
